01-14 19:29:08.910 10.1.141.71:54323     50801  #read-123 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:243.8 MB + FREE:87.9 MB == MEM_MAX:910.5 MB), desiredKV=160.4 MB OOM!
01-14 19:29:10.313 10.1.141.71:54323     50801  #read-121 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:243.9 MB + FREE:87.9 MB == MEM_MAX:910.5 MB), desiredKV=160.3 MB OOM!
01-14 19:29:08.911 10.1.141.71:54323     50801  #e Thread WARN: Swapping!  GC CALLBACK, (K/V:578.7 MB + POJO:243.9 MB + FREE:87.9 MB == MEM_MAX:910.5 MB), desiredKV=122.2 MB OOM!
01-14 19:29:11.030 10.1.141.71:54323     50801  #read-122 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:243.9 MB + FREE:87.9 MB == MEM_MAX:910.5 MB), desiredKV=160.3 MB OOM!
01-14 19:29:11.030 10.1.141.71:54323     50801  #read-120 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:243.9 MB + FREE:87.9 MB == MEM_MAX:910.5 MB), desiredKV=160.3 MB OOM!
01-14 19:29:12.445 10.1.141.71:54323     50801  #e Thread WARN: Swapping!  GC CALLBACK, (K/V:578.7 MB + POJO:243.2 MB + FREE:88.6 MB == MEM_MAX:910.5 MB), desiredKV=161.8 MB OOM!
01-14 19:29:12.445 10.1.141.71:54323     50801  #read-123 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:243.2 MB + FREE:88.6 MB == MEM_MAX:910.5 MB), desiredKV=161.8 MB OOM!
01-14 19:29:12.445 10.1.141.71:54323     50801  #read-122 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:243.2 MB + FREE:88.6 MB == MEM_MAX:910.5 MB), desiredKV=161.8 MB OOM!
01-14 19:29:12.445 10.1.141.71:54323     50801  #e Thread WARN: Swapping!  GC CALLBACK, (K/V:578.7 MB + POJO:243.1 MB + FREE:88.7 MB == MEM_MAX:910.5 MB), desiredKV=123.8 MB OOM!
01-14 19:29:13.268 10.1.141.71:54323     50801  #e Thread WARN: Swapping!  GC CALLBACK, (K/V:578.7 MB + POJO:243.0 MB + FREE:88.8 MB == MEM_MAX:910.5 MB), desiredKV=123.9 MB OOM!
01-14 19:29:13.268 10.1.141.71:54323     50801  #read-121 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:243.0 MB + FREE:88.8 MB == MEM_MAX:910.5 MB), desiredKV=162.1 MB OOM!
01-14 19:29:15.422 10.1.141.71:54323     50801  #read-120 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:243.0 MB + FREE:88.8 MB == MEM_MAX:910.5 MB), desiredKV=162.1 MB OOM!
01-14 19:29:15.422 10.1.141.71:54323     50801  #read-123 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:243.0 MB + FREE:88.8 MB == MEM_MAX:910.5 MB), desiredKV=162.1 MB OOM!
01-14 19:29:15.423 10.1.141.71:54323     50801  #read-122 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:243.0 MB + FREE:88.8 MB == MEM_MAX:910.5 MB), desiredKV=162.1 MB OOM!
01-14 19:29:15.423 10.1.141.71:54323     50801  #e Thread WARN: Swapping!  GC CALLBACK, (K/V:578.7 MB + POJO:243.0 MB + FREE:88.8 MB == MEM_MAX:910.5 MB), desiredKV=123.9 MB OOM!
01-14 19:29:16.211 10.1.141.71:54323     50801  #read-121 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:243.0 MB + FREE:88.8 MB == MEM_MAX:910.5 MB), desiredKV=162.1 MB OOM!
01-14 19:29:17.678 10.1.141.71:54323     50801  #read-123 WARN: Swapping!  OOM, (K/V:578.7 MB + POJO:242.9 MB + FREE:88.9 MB == MEM_MAX:910.5 MB), desiredKV=162.2 MB OOM!
